0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:29:02 +0700] "GET /urlApplication/SecondServlet?user=Sothea&pwd=1234 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:29:12 +0700] "GET /urlApplication/ThirdServlet?user=Sothea&pwd=1234 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:50:57 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:51:58 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 589
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:51:59 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:53:08 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:53:17 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:53:32 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:54:00 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:55:21 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:55:22 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:55:30 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:55:31 +0700] "GET /urlApplication/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2018:11:55:52 +0700] "GET /urlApplication/index.html HTTP/1.1" 200 618
